Format,AiM CSV File,,,,,,,,,,,,,,,,
Session,F.Corta Var6,,,,,,,,,,,,,,,,
Vehicle,Kosmic Rotax Junior,,,,,,,,,,,,,,,,
Racer,CS,,,,,,,,,,,,,,,,
Championship,RMC,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,
Date,"Sunday, December 15, 2024",,,,,,,,,,,,,,,,
Time,1:34 PM,,,,,,,,,,,,,,,,
Sample Rate,20,,,,,,,,,,,,,,,,
Duration,535.996,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,
Beacon Markers,62.774,117.713,171.05,224.169,276.63,329.063,381.672,434.819,489.525,535.996,,,,,,,
Segment Times,01:02.8,00:54.9,00:53.3,00:53.1,00:52.5,00:52.4,00:52.6,00:53.1,00:54.7,00:46.5,,,,,,,
,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,Engine RPM,Water Temp,Exhaust Temp,GPS G Sum
s,km/h, ,g,g,deg,deg,deg/s,m,mm,km/h,m,deg,deg,rpm,C,C,g
,,,,,,,,,,,,,,,,,
3.25,42.3571,14,0.4023,-0.0076,0.987,173.7065,19.206,159.4966,1360,0.504,35.1003,45.51654967,10.00553885,5009.5,8.2,0,0.3879
3.3,42.4663,14,0.4421,-0.0287,0.9546,174.7743,21.1105,159.5421,1358.3333,0.51,32.0159,45.51654414,10.00553934,4734.8335,8.2,0,0.4188
3.35,42.6885,14,0.4734,-0.0366,0.9097,176.6267,22.644,159.5927,1354.1666,0.525,30.0039,45.51653849,10.00553943,4733.1665,8.2,0,0.4844
3.4,42.9107,14,0.5048,-0.0445,0.8647,178.4791,24.1776,159.6432,1350,0.54,28.2471,45.51653283,10.00553953,4715.75,8.2,0,0.5509
3.45,41.6362,14,0.5113,-0.0562,0.8489,-44.205,24.5514,159.6765,1350,0.6075,26.9907,45.5165278,10.0055389,4705.3335,8.2,0,0.5457
3.5,40.9746,14,0.5079,-0.0844,0.8496,-177.8266,24.4507,159.7219,1348.3334,0.636,26.6712,45.51652255,10.0055385,4767,8.2,0,0.5355
3.55,41.2325,14,0.4896,-0.1374,0.8752,-177.8546,23.6383,159.7858,1344.1666,0.606,27.7615,45.51651699,10.00553843,4882.25,8.2,0,0.52
3.6,41.4905,14,0.4714,-0.1905,0.9008,-177.8826,22.8259,159.8496,1340,0.576,28.9295,45.51651143,10.00553836,4963.4126,8.2,0,0.5104
3.65,40.6025,13,0.4388,-0.2293,0.8779,-176.7324,21.408,159.8651,1333.75,0.5535,30.1853,45.51650631,10.00553775,5047.5396,8.2,0,0.5005
3.7,39.8436,13,0.4268,-0.2475,0.8539,-175.4274,21.0383,159.8904,1330,0.54,30.1418,45.51650125,10.00553698,5017.6001,8.2,0,0.4967
3.75,39.2783,13,0.4456,-0.2349,0.8281,-173.8901,22.2407,159.9304,1330,0.54,28.1077,45.51649628,10.00553597,4994.2002,8.2,0,0.4995
3.8,38.713,13,0.4644,-0.2223,0.8023,-172.3528,23.4431,159.9704,1330,0.54,26.2822,45.51649132,10.00553496,5009.0669,8.2,0,0.5028
3.85,38.6118,13,0.5421,-0.1971,0.769,-170.7335,27.7268,160.014,1325.8333,0.555,22.1637,45.51648637,10.00553341,5024,8.2,0,0.5537
3.9,38.5107,13,0.6197,-0.172,0.7357,-169.1142,32.0105,160.0577,1321.6667,0.57,19.1474,45.51648142,10.00553186,4952.6665,8.2,0,0.6094
3.95,38.4121,13,0.6735,-0.143,0.7078,-167.4805,35.0768,160.104,1316.25,0.5895,17.4289,45.51647648,10.00553013,4969.3335,8.2,0,0.6861
4,38.3153,13,0.7115,-0.1115,0.6835,-165.8373,37.3315,160.1521,1309.9999,0.612,16.3349,45.51647155,10.00552828,4969.2002,8.2,0,0.7756
4.05,37.959,13,0.7008,-0.0849,0.671,-163.7326,37.0059,160.2119,1305.8333,0.612,16.3254,45.51646688,10.00552594,4938.1333,8.2533,0,0.7313
4.1,37.6026,13,0.6901,-0.0582,0.6586,-161.6279,36.6803,160.2717,1301.6666,0.612,16.3157,45.51646221,10.0055236,4911.6333,8.2633,0,0.6883
